Square_Feet,Bedrooms,Age,Price
1660,4,16,298208.08
2094,3,29,353547.69
1930,3,7,374393.03
1895,1,5,334744.45
2438,5,22,439965.26
2969,4,29,482908.09
1266,2,23,238982.6
2038,3,3,360173.65
1130,1,12,219448.24
2282,1,26,368291.63
2935,4,16,484900.72
930,3,19,212742.17
2485,5,5,464292.02
1569,3,22,316861.67
3191,4,25,560823.78
2315,4,29,389257.98
3233,3,14,536274.2
2015,4,28,341070.35
1755,3,5,313453.05
3124,2,15,514267.34
1984,3,17,378856.21
1259,3,14,223326.39
821,4,20,201929.17
3100,4,5,560525.09
1547,1,12,285970.39
1274,1,16,242897.6
1882,2,26,304536.67
3358,1,26,543923.58
2847,3,16,479611.13
1775,4,21,294162.1
2606,1,7,443361.19
989,1,4,190888.38
1362,2,1,293482.25
2699,2,5,464554.8
2067,3,23,363134.12
2328,4,26,413837.69
1446,2,10,270888.99
2868,1,22,462242.38
3014,4,5,548753.61
2097,4,4,383755.18
3235,1,2,532322.8
1400,2,20,241493.33
3163,1,10,544001.32
2861,4,26,477424.5
1041,5,19,231200.75
2841,5,26,485940.93
3412,3,1,585977.33
2163,1,24,344588.56
2939,1,5,501790.86
2190,3,13,377287.25
2278,3,4,396613.24
3356,3,16,555823.69
1575,4,24,285476.47
834,1,16,145832.33
3053,4,23,515499.41
2755,3,2,465948.24
2385,1,17,423266.21
1821,4,28,307160.98
3413,4,27,559855.51
1929,3,20,339296.68
2300,1,24,401470.27
1502,3,12,264945.27
3249,1,18,527880.75
2379,5,3,468807.38
961,2,28,175903.85
1001,2,1,201402.74
2781,2,1,484330.23
1795,3,29,337356.52
3117,5,19,535513.21
1615,1,11,310592.75
1255,4,5,276130.0
2075,1,12,375337.71
1816,4,3,362080.25
3143,1,1,522984.36
1137,5,1,293932.9
1678,4,8,335478.53
1876,3,10,351896.44
1591,1,11,297563.33
3064,1,12,519062.29
1563,4,29,301842.85
3035,3,13,499389.17
1179,3,12,232891.47
1292,5,14,267152.07
1980,3,2,362913.8
2862,3,29,461418.44
864,3,19,176734.64
3368,2,18,558639.23
2167,5,3,428866.14
1952,1,23,325175.46
2827,4,17,487259.51
3495,1,26,572181.95
2295,5,8,433276.51
1962,4,29,363556.09
2322,5,26,408560.11
3440,3,10,590205.69
1191,4,26,257581.33
2498,3,2,413168.18
1218,1,19,210073.72
3136,1,9,528506.13
1178,4,7,276492.23
2596,4,4,477646.7
3078,5,26,531243.59
2888,5,21,532158.68
2982,3,18,524809.9
1000,4,13,211371.27
2663,1,11,447996.16
1579,5,29,307452.54
1302,5,24,292278.99
3254,1,4,556291.06
2551,5,25,451096.36
1604,3,21,298701.11
2946,4,29,468841.75
2695,1,25,448779.43
2370,4,4,450385.99
1760,5,10,370182.35
3460,5,5,610839.26
2285,1,9,393870.62
3490,3,24,567479.92
1828,2,3,323379.18
1302,1,17,225866.16
1197,2,3,218660.49
1670,2,16,315019.08
1192,3,4,221376.76
1006,2,18,229782.14
1838,2,17,298838.1
2681,3,7,496248.33
2284,2,24,370179.19
1663,2,23,300265.5
1363,2,5,257163.3
1820,1,12,343706.22
895,1,17,174505.54
2723,1,23,456955.23
2557,3,13,449090.72
3332,5,23,577494.4
3078,2,25,510941.6
2478,2,3,430169.14
1340,3,9,250995.63
1859,2,17,308925.95
3372,1,17,546162.64
1983,5,20,366120.4
2522,4,16,416912.15
2619,2,25,440544.12
3425,1,22,529072.66
3404,4,13,567595.12
2397,5,27,426525.61
3493,4,19,577648.27
1595,1,17,280687.58
1851,4,4,392451.91
2443,3,12,426364.14
2163,4,29,363756.31
2781,2,9,479072.6
2154,2,19,358671.52
2463,3,12,435406.27
2329,1,9,403284.54
2838,2,7,486772.05
2296,5,28,411648.38
3037,2,14,511631.36
2208,2,20,401156.69
2200,1,19,363406.21
2106,4,26,376611.52
3480,2,15,587002.74
3475,3,16,589115.55
1772,4,21,325226.86
2568,5,5,492727.95
2082,1,3,355631.3
1509,5,12,308548.76
2279,4,25,390283.7
2234,4,20,409742.62
1448,4,27,292644.0
1117,5,21,245700.04
2057,4,4,394878.99
1483,5,21,284124.87
1463,4,23,271311.73
2798,3,16,462601.1
2431,4,25,391999.78
2295,5,7,429984.49
1936,2,13,340328.42
2653,4,21,495342.63
2320,2,10,429442.2
3289,3,26,550484.6
1363,1,7,287317.16
2091,3,14,397713.55
2436,4,26,394086.48
1498,2,5,304711.84
2960,2,3,521071.81
801,5,23,188209.33
1441,2,29,230121.96
3067,5,11,555781.02
2389,1,11,373963.08
1654,4,18,316177.88
2559,5,15,456593.64
3232,1,12,511517.37
2461,2,9,446182.02
1953,2,10,350330.37
1876,1,26,312809.49
2507,2,12,445268.08
2495,1,17,413718.14
2533,5,29,451921.17
2239,5,6,440887.77
3094,1,7,524201.34
